Date,1st Service,2nd Service,third xmas,single service,Services,Day of Week,Secular Holiday,Religious Holiday,Alternate Pastor,Church Event,Weather Event,Precipitation,Snow,SnowDepth,DougCtySchoolOut
10/1/17,71,88,,Pre,2,1,0,0,0,1,0,0.02,0,0,0
10/8/17,78,58,,Pre,2,1,0,0,0,0,0,,,,1
10/15/17,76,49,,Pre,2,1,0,0,0,0,0,,,,0
10/22/17,71,47,,Pre,2,1,0,0,0,0,0,,,,0
10/29/17,64,108,,Pre,2,1,0,0,0,0,0,,,,0
11/5/17,61,80,,Pre,2,1,0,0,0,0,0,0,0,0,0
11/12/17,59,80,,Pre,2,1,0,0,0,1,0,0,0,0,0
11/19/17,115,57,,Pre,2,1,0,0,0,1,0,0,0,0,1
11/22/17,48,,,Pre,1,4,1,0,0,0,0,0,0,0,1
11/26/17,87,64,,Pre,2,1,0,0,0,0,0,0,0,0,0
12/3/17,88,62,,Pre,2,1,0,0,0,0,0,0,0,0,0
12/6/17,68,,,Pre,1,4,0,1,0,0,0,0,0,0,0
12/10/17,74,54,,Pre,2,1,0,0,0,0,0,0,0,0,0
12/13/17,52,,,Pre,1,4,0,1,0,0,0,,,,0
12/17/17,55,123,,Pre,2,1,0,0,0,0,0,,,,0
12/20/17,41,,,Pre,1,4,0,1,0,0,0,,,,0
12/24/17,75,165,60,Pre,3,1,0,1,0,0,0,0.07,1.4,1,1
12/25/17,72,,,Pre,1,2,0,1,0,0,0,0,0,0.5,1
12/31/17,62,48,,Pre,2,1,0,0,0,0,0,,,,1
1/6/18,23,,,Pre,1,7,0,1,0,0,0,0,0,0,0
1/7/18,73,78,,Pre,2,1,0,0,0,0,0,0.01,0,0,0
1/14/18,83,83,,Pre,2,1,0,0,0,0,0,,,,1
1/21/18,57,37,,Pre,2,1,0,0,0,0,0,0.2,2.7,2.5,0
1/28/18,98,73,,Pre,2,1,0,0,0,0,0,0,0,2,0
2/4/18,64,64,,Pre,2,1,0,0,0,0,0,,,,0
2/11/18,65,49,,Pre,2,1,0,0,0,0,0,0.21,4.2,4,0
2/14/18,79,,,Pre,1,4,0,1,0,0,0,0,0,0,0
2/18/18,74,69,,Pre,2,1,0,0,0,0,0,,,,1
2/21/18,53,,,Pre,1,4,0,1,0,0,0,0,0,1.5,0
2/25/18,76,61,,Pre,2,1,0,0,0,0,0,0,0,0,0
2/28/18,63,,,Pre,1,4,0,1,0,0,0,,,,0
3/4/18,66,72,,Pre,2,1,0,0,0,0,0,,,,0
3/7/18,63,,,Pre,1,4,0,1,0,0,0,,,,0
3/11/18,59,68,,Pre,2,1,0,0,0,0,0,,,,0
3/14/18,53,,,Pre,1,4,0,1,0,0,0,,,,0
3/18/18,89,62,,Pre,2,1,0,0,0,0,0,,,,1
